"class_id","classifier_index","name","sample_count"
"0","0","Give way","201"
"1","1","No entry","201"
"2","2","One-way traffic","201"
"3","3","One-way traffic","201"
"4","4","No vehicles in both directions","201"
"5","5","No entry for cycles","321"
"6","6","No entry for goods vehicles","201"
"7","7","No entry for pedestrians","201"
"8","8","No entry for bullock carts","601"
"9","9","No entry for hand carts","201"
"10","10","No entry for motor vehicles","201"
"11","11","Height limit","201"
"12","12","Weight limit","201"
"13","13","Axle weight limit","201"
"14","14","Length limit","201"
"15","15","No left turn","201"
"16","16","No right turn","201"
"17","17","No overtaking","201"
"18","18","Maximum speed limit (90 km/h)","201"
"19","19","Maximum speed limit (110 km/h)","201"
"20","20","Horn prohibited","601"
"21","21","No parking","201"
"22","22","No stopping","201"
"23","23","Turn left","201"
"24","24","Turn right","201"
"25","25","Steep descent","201"
"26","26","Steep ascent","201"
"27","27","Narrow road","201"
"28","28","Narrow bridge","201"
"29","29","Unprotected quay","201"
"30","30","Road hump","201"
"31","31","Dip","201"
"32","32","Loose gravel","201"
"33","33","Falling rocks","201"
"34","34","Cattle","201"
"35","35","Crossroads","201"
"36","36","Side road junction","201"
"37","37","Side road junction","201"
"38","38","Oblique side road junction","201"
"40","39","T-junction","201"
"41","40","Y-junction","201"
"42","41","Staggered side road junction","201"
"43","42","Staggered side road junction","201"
"44","43","Roundabout","201"
"45","44","Guarded level crossing ahead","201"
"46","45","Unguarded level crossing ahead","201"
"47","46","Level crossing countdown marker","144"
"48","47","Level crossing countdown marker","168"
"49","48","Level crossing countdown marker","58"
"50","49","Level crossing countdown marker","193"
"51","50","Parking","600"
"52","51","Bus stop","220"
"53","52","First aid post","607"
"54","53","Telephone","602"
"55","54","Filling station","616"
"56","55","Hotel","200"
"57","56","Restaurant","201"
"58","57","Refreshments","196"
