answer,count
Triangle,368
Yes,267
Slow,175
Red,154
Left,139
Slow down,133
Accidents,115
Stop,94
Safety,91
Penalty,86
Pedestrian Crossing Ahead,80
Crossings,80
Navigation,73
Bus,71
Circular,71
Directions,66
Obey with the limit,64
Blue,64
Rectangular,64
Decrease,63
Curve,56
No,52
Obey,52
Speed Limit,51
White,47
School,39
yes,37
Green,35
Rules/Orders,35
Circle,33
Series,33
Rectangle,33
Humps/Speed breakers,32
Right-turn,31
Orders/Rules,29
Right,28
Octagon,28
Speed,28
STOP,27
Halt,27
Hump/Speed breaker,27
Single,27
right curve ahead,25
Junction,24
40 km/h,23
Highways / main roads,22
left curve ahead,22
Yellow,21
Give way to traffic on major road,21
Towns,20
Drivers,20
Dircetion,20
30 km/h,19
Petrol pump,19
80 km/h,19
Telugu,17
Y-intersection,16
Ongole,16
Major road ahead,16
side road right,16
hairpin bend ahead,15
"Residential (or market, school zones)",14
No entry,14
Prohibition,14
One way,14
Left-turn,14
Crossroad,13
Highway,13
Intersection,13
Gap in median,13
Vehicles may pass on either side,12
Toilets and Drinking Water facilities ahead,11
Repalle,11
NH 216,10
Truck,10
Black,9
Bapatla,9
No Right Turn,9
Truck Lay-by,9
Accident,8
Chirala,8
Narrow bridge,8
Careful,8
Hairpin bend ahead,8
Straight,7
Danger,7
Right curve ahead,7
Left curve ahead,7
Railway crossing,7
Unguarded crossing,7
side road left,7
No Overtaking,7
T-intersection,7
Chennai,6
60 km/h,6
500m,6
Go Slow,6
G.Konduru,6
No Parking,6
Hazard,5
Chevron,5
Direction,5
Informative,5
Directional,5
500 m,5
Staggered Intersection,5
Accident black spot / Accident-prone area,5
School Zone,5
Guntur,5
Overhead cables,5
20 km/h,5
Hazard Mraker,5
Stripes,5
Yellow and Black,5
"G.Konduru, Ibrahimpatnam and Vijayawada",5
1KM,4
one way,4
65 km/h,4
Main Roads,4
Side road right,4
Road-widening,4
Slippery,4
Road condition,4
Risky,4
Vijayawada,4
End of dual Carriageway,4
All,4
Marella,4
Eepurupalem,4
Caution,3
Start of Dual Carriageway,3
Sharp,3
Side road left,3
Guide,3
Parking,3
Restriction,3
End of Dual Carriageway,3
Toilet Facility ahead,3
Suryalanka Beach,3
Fuel,3
Left reverse bend,3
Highways,3
Kesineni palli,3
Boundary,3
Chilakaluripet,3
Service Road,3
Start of dual Carriageway,3
Construction,3
Work Zone,3
Mylavaram and Tiruvuru,3
Reduce the speed,3
Restaurant,3
Mylavaram,3
Location,3
Unguarded Railway Crossing,3
Be Cautious,3
Nandyal,3
Rural,3
No Entry,3
Accident Prone Zone,3
Barrier,2
Cross,2
Fuel station,2
NH216,2
Route,2
left,2
Entry,2
No right turn,2
500 meters,2
English,2
Bapatla and Suryalanka Beach,2
Location of IndianOil Filling Station,2
Go slow,2
Digamarru,2
Temple Ahead,2
Hospital,2
Medical,2
Bed,2
Weigh Bridge ahead,2
Amaravati pilgrim center and amaravati capital,2
Amaravati Capital,2
Right reverse bend,2
Warning,2
No stopping,2
Hyderabad,2
250m,2
Change,2
Service Road Ahead,2
End of speed restriction,2
Cicrle,2
Added lane from left,2
Avoid,2
Naaz centre,2
Prathipadu,2
Exit,2
Height,2
Dasari palem,2
Tourism,2
Andhra Pradesh,2
End of dual carriageway,2
Km,2
Accident Prone Area,2
Addanki and Darsi,2
Jammalamadaka,2
Milestone,2
6 Km,2
"Tiruvuru, Bhadrachalam and Jagadalpur",2
Tiruvuru,2
Bus Stop,2
Passengers,2
Ferry,2
Chittoor,2
Series of bends,2
1km,2
Black-White,2
Car and Bike,2
added lane from left,2
No Waiting,2
50 km/h,2
Collision,1
Tollbooth,1
Automatic,1
Toll,1
Bend,1
Merging,1
Traingle,1
slow,1
Care,1
1.5 km,1
IndianOil,1
Suryalanka,1
Bump,1
Speedbreaker,1
National,1
Informational,1
Separation,1
Teachers,1
Rtc Depot,1
Vehicles,1
Stand,1
Auto,1
Nallamothuvaripalem,1
PathaNandayapalem,1
Informatory,1
Buddam,1
informatory,1
Yazali,1
Khajipalem,1
Chinthayapalem,1
Toilets,1
Water,1
Driving,1
Colony,1
Arrow,1
Bilingual,1
Manchavaripalem,1
Steep Ascent,1
Maddiboyinavaripalem,1
Marrupoluvaripalem,1
Asodivaripalem,1
Go straight,1
Road Closed,1
62 km,1
Right bend,1
Diamond,1
Curved,1
No horn,1
horn,1
Silence,1
20 kmph,1
Kurnool,1
216H,1
Hump,1
Hanuman,1
20 km,1
50 km,1
144 km,1
Tripuranthakam,1
220 km,1
Lay-bye,1
Rest,1
Pull over,1
Vigilant,1
Built-up,1
Populated,1
Dupadu,1
"Chennai , Tirupati and Sattenapalle",1
Gujjanagundla,1
Amaravati,1
Chowdavaram and Dasarivaripalem,1
Danger Zone,1
Chowdavaram,1
4.5 m,1
Quarry Road,1
Cattle,1
Guntur and Nallapadu,1
Bhuvanesawr,1
guidance,1
Pottur,1
Vengalayapalem,1
Chowdavarm and Kondrupadu,1
Koretipadu,1
Information,1
Municipality,1
Taluka Office,1
R.T.O Office,1
Pinniboyanavaripalem,1
Assembly,1
Emergency,1
Kakinada,1
Surveillance,1
Camera,1
Number plates,1
Violations,1
No left Turn,1
Danger/Hazard,1
CCTV,1
Recording,1
24 Hours,1
Security,1
Railway,1
Gated,1
Crossing,1
Start of dual carriageway,1
Road-narrowing,1
Govada,1
Machilipatnam and Challapalli,1
Up,1
Toll Gate,1
Bhattiprolu,1
No Straight Ahead,1
Chandole,1
Kanagala,1
Pittalavanipalem,1
Repalle and Machilipatnam,1
Nuzivudu,1
Tiruvuru and Bhadrachelam,1
Pondugala,1
Ibrahimpatnam,1
Mylavarm,1
Hostel,1
Boys,1
Lakireddy Lakshmi Reddy,1
Vinukonda,1
Authorities,1
Vijayawada and AP Secretariat,1
