mapillary_image_id,map_feature_id,all_linked_map_feature_ids,exact_mapillary_taxonomy_label,project_class,sequence_id,capture_timestamp_utc,captured_at_epoch_ms,contributor_id,contributor_name,latitude,longitude,geographic_evidence_india,city_search_area,source_reference,api_retrieval_timestamp_utc,taxonomy_mapping_confidence,independence_group_id,review_status,approved_photograph,acquisition_order,acquisition_status,pixel_download_authorized,selection_basis,attribution_title,attribution_contributor,attribution_source_url,attribution_licence,attribution_text_template,terms_status
1187390995455208,121886100627707,121886100627707,regulatory--stop--g1,stop,eBzoQZcJEmLPdjXCsV2WOS,2022-08-29T13:11:18+00:00,1661778678169,109037777999283,olily,12.9758966,77.6146286,"Non-overlapping outer urban tile around Bengaluru, India; excludes the r07 centre box",Bengaluru outer tile,https://www.mapillary.com/app/?pKey=1187390995455208,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00004,metadata_only_not_reviewed,no,1,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 1187390995455208,olily,https://www.mapillary.com/app/?pKey=1187390995455208,CC BY-SA (version to verify at download time),Mapillary image 1187390995455208 by olily; source https://www.mapillary.com/app/?pKey=1187390995455208; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
581459809496120,1411575839206119,1411575839206119,regulatory--stop--g1,stop,gPGxbrIqgUeS2B6Cpi7msg,2018-02-14T03:46:48+00:00,1518580008132,109833741245768,richlv,12.9691921,77.5766924,"Non-overlapping outer urban tile around Bengaluru, India; excludes the r07 centre box",Bengaluru outer tile,https://www.mapillary.com/app/?pKey=581459809496120,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00006,metadata_only_not_reviewed,no,2,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 581459809496120,richlv,https://www.mapillary.com/app/?pKey=581459809496120,CC BY-SA (version to verify at download time),Mapillary image 581459809496120 by richlv; source https://www.mapillary.com/app/?pKey=581459809496120; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
165054098879940,145133170964891,145133170964891,regulatory--stop--g1,stop,i64k97df2hnxaqdee6uush,2021-01-06T02:48:34+00:00,1609901314789,101743165404889,pradeepbv,12.9821080,77.5970286,"Non-overlapping outer urban tile around Bengaluru, India; excludes the r07 centre box",Bengaluru outer tile,https://www.mapillary.com/app/?pKey=165054098879940,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00008,metadata_only_not_reviewed,no,3,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 165054098879940,pradeepbv,https://www.mapillary.com/app/?pKey=165054098879940,CC BY-SA (version to verify at download time),Mapillary image 165054098879940 by pradeepbv; source https://www.mapillary.com/app/?pKey=165054098879940; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
1906120286720554,1505042624338548,1505042624338548,regulatory--stop--g1,stop,k96FGdscMXft7YvQRn41DZ,2026-04-25T11:35:57+00:00,1777116957728,106724622478113,WPStan,19.0612150,72.8624206,"Non-overlapping outer urban tile around Mumbai, India; excludes the r07 centre box",Mumbai outer tile,https://www.mapillary.com/app/?pKey=1906120286720554,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00012,metadata_only_not_reviewed,no,4,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 1906120286720554,WPStan,https://www.mapillary.com/app/?pKey=1906120286720554,CC BY-SA (version to verify at download time),Mapillary image 1906120286720554 by WPStan; source https://www.mapillary.com/app/?pKey=1906120286720554; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
1118772261952913,180965013788346,180965013788346,regulatory--stop--g1,stop,gmgvk8fyvg3wclhy4oag9v,2016-12-12T05:32:17+00:00,1481520737103,108469318050957,yogi,12.9518932,77.6090215,"Non-overlapping outer urban tile around Bengaluru, India; excludes the r07 centre box",Bengaluru outer tile,https://www.mapillary.com/app/?pKey=1118772261952913,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00015,metadata_only_not_reviewed,no,5,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 1118772261952913,yogi,https://www.mapillary.com/app/?pKey=1118772261952913,CC BY-SA (version to verify at download time),Mapillary image 1118772261952913 by yogi; source https://www.mapillary.com/app/?pKey=1118772261952913; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
966533124155367,208449057516643,208449057516643,regulatory--stop--g1,stop,frU8i8F6_r72mHFQ3yJaog,2017-07-23T06:11:29+00:00,1500790289644,104356101806278,manojkmohan,10.5285445,76.2179835,"Curated interior coordinate centred on Thrissur, India",Thrissur,https://www.mapillary.com/app/?pKey=966533124155367,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00018,metadata_only_not_reviewed,no,6,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 966533124155367,manojkmohan,https://www.mapillary.com/app/?pKey=966533124155367,CC BY-SA (version to verify at download time),Mapillary image 966533124155367 by manojkmohan; source https://www.mapillary.com/app/?pKey=966533124155367; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
108628531303807,251142620034595,251142620034595,regulatory--stop--g1,stop,4F5HagySfmdeHeL31CDYww,2018-02-14T04:15:16+00:00,1518581716185,109833741245768,richlv,12.9688006,77.5790933,"Non-overlapping outer urban tile around Bengaluru, India; excludes the r07 centre box",Bengaluru outer tile,https://www.mapillary.com/app/?pKey=108628531303807,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00019,metadata_only_not_reviewed,no,7,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 108628531303807,richlv,https://www.mapillary.com/app/?pKey=108628531303807,CC BY-SA (version to verify at download time),Mapillary image 108628531303807 by richlv; source https://www.mapillary.com/app/?pKey=108628531303807; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
285766233095368,2916379968680363,2916379968680363,regulatory--stop--g1,stop,frU8i8F6_r72mHFQ3yJaog,2017-07-23T06:12:51+00:00,1500790371064,104356101806278,manojkmohan,10.5289058,76.2172812,"Curated interior coordinate centred on Thrissur, India",Thrissur,https://www.mapillary.com/app/?pKey=285766233095368,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00022,metadata_only_not_reviewed,no,8,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 285766233095368,manojkmohan,https://www.mapillary.com/app/?pKey=285766233095368,CC BY-SA (version to verify at download time),Mapillary image 285766233095368 by manojkmohan; source https://www.mapillary.com/app/?pKey=285766233095368; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
896353114477712,2941949159387078,2941949159387078,regulatory--stop--g1,stop,LkcYscvorK8LkQskBqtGI8,2020-06-30T13:55:53+00:00,1593525353099,100149628902804,pra1985,17.4008059,78.4709819,"Non-overlapping outer urban tile around Hyderabad, India; excludes the r07 centre box",Hyderabad outer tile,https://www.mapillary.com/app/?pKey=896353114477712,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00023,metadata_only_not_reviewed,no,9,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 896353114477712,pra1985,https://www.mapillary.com/app/?pKey=896353114477712,CC BY-SA (version to verify at download time),Mapillary image 896353114477712 by pra1985; source https://www.mapillary.com/app/?pKey=896353114477712; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
1268603748690293,3085012171700288,3085012171700288,regulatory--stop--g1,stop,SY9sP5dMG4WFOIgT6jHJli,2026-05-02T04:33:32+00:00,1777696412503,106724622478113,WPStan,19.0614351,72.8635067,"Non-overlapping outer urban tile around Mumbai, India; excludes the r07 centre box",Mumbai outer tile,https://www.mapillary.com/app/?pKey=1268603748690293,2026-09-01T17:31:29+00:00,high_exact_semantic_taxonomy_prefix,mapillary_india_group_00025,metadata_only_not_reviewed,no,10,proposed_metadata_only,no,"All catalogued stop candidates retained; round-robin order across dependency groups, then metadata diversity within each group",Mapillary image 1268603748690293,WPStan,https://www.mapillary.com/app/?pKey=1268603748690293,CC BY-SA (version to verify at download time),Mapillary image 1268603748690293 by WPStan; source https://www.mapillary.com/app/?pKey=1268603748690293; licensed under CC BY-SA,blocked_pending_manual_logged_in_terms_confirmation
