label,index,precision,recall,f1,support
filling_station,0,1.0,1.0,1.0,3
gap_in_median,1,1.0,0.5,0.6666666666666666,2
give_way,2,1.0,0.3333333333333333,0.5,3
hairpin_bend_ahead,3,0.5714285714285714,1.0,0.7272727272727273,4
left_curve_ahead,4,0.0,0.0,0.0,4
major_road_ahead,5,1.0,0.6666666666666666,0.8,3
maximum_speed_limit_30_km_h,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
maximum_speed_limit_40_km_h,7,1.0,0.6666666666666666,0.8,3
maximum_speed_limit_80_km_h,8,0.6,1.0,0.75,3
no_entry,9,1.0,1.0,1.0,2
no_right_turn,10,1.0,1.0,1.0,1
pass_either_side,11,1.0,1.0,1.0,1
pedestrian_crossing_ahead,12,0.46153846153846156,0.6,0.5217391304347826,10
right_curve_ahead,13,0.4,0.5,0.4444444444444444,4
road_hump,14,0.4,0.5,0.4444444444444444,8
school_ahead,15,0.4,0.3333333333333333,0.36363636363636365,6
side_road_right,16,1.0,0.6666666666666666,0.8,3
