true_label,filling_station,gap_in_median,give_way,hairpin_bend_ahead,left_curve_ahead,major_road_ahead,maximum_speed_limit_30_km_h,maximum_speed_limit_40_km_h,maximum_speed_limit_80_km_h,no_entry,no_right_turn,pass_either_side,pedestrian_crossing_ahead,right_curve_ahead,road_hump,school_ahead,side_road_right
filling_station,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gap_in_median,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
give_way,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
hairpin_bend_ahead,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
left_curve_ahead,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
major_road_ahead,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
maximum_speed_limit_30_km_h,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
maximum_speed_limit_40_km_h,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
maximum_speed_limit_80_km_h,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
no_entry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
no_right_turn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pass_either_side,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pedestrian_crossing_ahead,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,0
right_curve_ahead,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
road_hump,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0
school_ahead,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0
side_road_right,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
